parent,child,relationshiptype
root,Node1,M
root,Node2,M
Node1,Node2,Star
Node2,Node3,O
root,Node4,O
Node1,Node4,E
Node1,Node5,Star
Node5,Node6,A
root,Node7,O
Node4,Node7,Star
Node6,Node3,Star
Node2,Node6,E
Node1,Node8,Star
Node1,Node9,Star
Node6,Node10,Star
Node2,Node8,E
Node3,Node10,Star
Node9,Node5,A
Node6,Node11,Star
Node2,Node9,E
Node6,Node12,Star
Node8,Node12,O
Node10,Node13,A
Node13,Node14,O
Node7,Node15,Star
Node5,Node16,A
Node8,Node17,O
Node2,Node18,O
Node9,Node19,A
Node8,Node13,E
Node3,Node18,R
Node8,Node14,E
Node6,Node19,E
root,Node20,M
Node3,Node21,Star
Node19,Node21,A
Node17,Node22,A
Node8,Node22,E
Node18,Node23,A
Node10,Node16,R
Node20,Node17,A
Node5,Node20,R
Node23,Node24,O
Node18,Node25,A
Node22,Node26,O
Node2,Node25,E
Node14,Node27,A
Node24,Node28,M
Node7,Node28,R
Node8,Node29,O
Node26,Node30,A
Node15,Node26,O
Node9,Node30,R
Node18,Node31,A
root,Node32,M
Node31,Node33,Star
Node5,Node34,A
Node28,Node15,Star
root,Node35,O
Node2,Node36,O
Node31,Node37,Star
Node24,Node38,M
Node17,Node39,A
Node30,Node27,O
root,Node40,O
Node36,Node31,Star
Node12,Node41,A
Node3,Node42,Star
Node12,Node36,E
Node14,Node41,R
Node30,Node33,E
Node12,Node34,E
Node37,Node43,Star
Node33,Node35,A
Node34,Node37,Star
Node8,Node43,E
Node11,Node44,M
Node27,Node29,A
Node29,Node45,A
Node38,Node46,Star
Node15,Node46,R
Node37,Node38,R
Node38,Node47,Star
Node7,Node48,Star
Node26,Node49,A
Node5,Node50,A
Node31,Node40,R
Node21,Node51,A
Node43,Node45,O
Node30,Node42,E
Node9,Node44,R
Node34,Node39,E
Node41,Node50,O
Node13,Node52,O
Node5,Node53,A
Node23,Node54,O
Node25,Node47,Star
Node25,Node54,E
Node10,Node53,R
Node40,Node55,O
Node14,Node56,A
Node1,Node57,Star
Node15,Node51,R
Node24,Node58,O
Node2,Node59,O
Node26,Node59,R
Node37,Node60,Star
Node52,Node60,Star
Node1,Node61,Star
Node22,Node62,O
Node32,Node63,O
Node55,Node64,M
Node44,Node65,Star
Node1,Node65,E
Node4,Node66,Star
Node1,Node67,Star
Node34,Node68,Star
Node41,Node69,O
Node58,Node70,Star
Node15,Node49,R
Node10,Node71,A
Node36,Node72,Star
Node12,Node73,A
Node8,Node68,E
Node12,Node57,E
Node31,Node74,Star
Node57,Node75,Star
Node56,Node76,A
Node4,Node76,R
Node71,Node77,A
Node75,Node78,O
Node1,Node79,Star
Node29,Node71,E
Node49,Node58,O
Node23,Node80,O
Node50,Node81,O
Node32,Node82,M
Node59,Node73,A
Node80,Node77,Star
Node80,Node82,E
Node10,Node78,R
Node21,Node48,R
Node65,Node66,Star
Node70,Node83,O
Node45,Node64,Star
Node6,Node62,E
Node50,Node79,E
Node15,Node80,R
Node32,Node84,M
Node65,Node84,R
Node51,Node56,A
Node81,Node85,Star
Node80,Node86,Star
Node81,Node61,E
Node11,Node87,O
Node77,Node81,Star
Node58,Node85,E
Node15,Node52,R
Node30,Node88,O
Node80,Node87,E
Node81,Node72,E
Node34,Node69,E
Node2,Node83,E
Node37,Node86,R
Node34,Node89,Star
Node19,Node88,E
Node4,Node74,R
Node60,Node90,Star
Node31,Node91,Star
Node20,Node92,A
Node78,Node91,A
Node2,Node90,E
Node73,Node93,Star
Node35,Node94,A
Node80,Node95,Star
Node61,Node93,A
Node26,Node94,R
Node9,Node96,A
Node63,Node97,M
Node94,Node95,Star
Node39,Node96,Star
Node68,Node98,Star
Node24,Node99,M
Node22,Node92,R
Node56,Node100,A
Node76,Node98,Star
Node84,Node101,Star
Node40,Node97,R
Node95,Node102,A
Node46,Node103,A
Node50,Node104,O
Node20,Node99,R
Node80,Node105,Star
Node9,Node102,R
Node75,Node106,O
Node105,Node107,Star
Node82,Node108,A
Node77,Node109,Star
Node90,Node110,O
Node44,Node111,Star
Node6,Node112,Star
Node66,Node112,O
Node2,Node109,E
Node61,Node101,R
Node34,Node100,E
Node14,Node113,A
Node97,Node114,A
Node25,Node115,Star
Node93,Node116,O
Node24,Node117,O
Node77,Node113,E
Node75,Node118,M
Node36,Node119,Star
Node87,Node120,Star
Node45,Node103,E
Node6,Node106,E
Node101,Node120,A
Node63,Node121,M
Node111,Node105,A
Node70,Node122,M
Node40,Node117,R
Node65,Node123,Star
Node36,Node124,Star
Node79,Node121,O
Node120,Node118,A
Node108,Node125,M
Node8,Node114,E
Node37,Node126,Star
Node110,Node127,O
Node72,Node123,O
Node22,Node128,O
Node51,Node104,E
Node127,Node129,O
Node6,Node130,Star
Node23,Node131,M
Node89,Node132,M
Node132,Node111,A
Node119,Node133,O
Node50,Node132,E
Node15,Node129,R
Node16,Node134,A
Node132,Node135,A
Node49,Node136,O
Node13,Node126,E
Node51,Node137,A
Node59,Node134,E
Node104,Node130,A
Node11,Node138,M
Node108,Node139,M
Node114,Node138,Star
Node127,Node140,O
Node106,Node141,Star
Node68,Node141,R
Node80,Node142,Star
Node34,Node143,Star
Node6,Node144,Star
Node116,Node145,O
Node36,Node146,Star
Node25,Node146,E
Node13,Node147,O
Node121,Node142,O
Node5,Node147,R
Node127,Node148,O
Node88,Node144,Star
Node29,Node137,E
Node105,Node148,R
Node92,Node149,A
Node113,Node150,A
Node34,Node145,E
Node87,Node151,Star
Node143,Node152,A
Node68,Node139,R
Node44,Node122,R
Node125,Node153,O
Node9,Node116,R
Node32,Node154,M
Node147,Node153,A
Node25,Node155,Star
Node135,Node156,A
Node138,Node157,O
Node53,Node158,A
Node42,Node159,O
Node39,Node157,E
Node59,Node158,E
Node12,Node140,E
Node45,Node160,Star
Node73,Node128,E
Node62,Node161,Star
Node144,Node135,Star
Node9,Node150,R
Node127,Node162,M
Node147,Node163,A
Node108,Node164,M
Node71,Node165,A
Node165,Node166,O
Node66,Node143,E
Node123,Node167,O
Node27,Node168,A
Node150,Node169,A
Node23,Node170,M
Node158,Node171,A
Node99,Node171,A
Node135,Node155,R
Node37,Node166,R
Node38,Node172,Star
Node139,Node156,O
Node65,Node173,Star
Node102,Node174,Star
Node160,Node175,Star
Node90,Node176,O
Node81,Node177,Star
Node19,Node173,E
Node172,Node149,O
Node144,Node178,Star
Node109,Node179,Star
Node175,Node169,O
Node60,Node159,R
Node10,Node180,A
Node167,Node181,M
Node66,Node182,O
Node8,Node183,O
Node76,Node184,Star
Node33,Node165,R
Node54,Node185,O
Node75,Node186,O
Node186,Node187,A
Node186,Node154,E
Node109,Node188,Star
Node163,Node187,A
Node129,Node189,A
Node26,Node162,R
Node125,Node190,M
Node87,Node184,R
Node124,Node191,O
Node61,Node172,R
Node125,Node192,O
Node174,Node193,Star
Node166,Node161,O
Node64,Node194,Star
Node133,Node195,O
Node103,Node183,A
Node186,Node196,A
Node57,Node191,R
Node184,Node197,O
Node167,Node198,O
Node34,Node199,Star
Node107,Node200,M
Node56,Node201,A
Node73,Node200,E
Node159,Node175,O
Node91,Node160,O
Node133,Node202,M
Node37,Node180,R
Node182,Node203,A
Node45,Node204,Star
Node29,Node205,A
Node127,Node206,O
Node41,Node207,O
Node23,Node208,M
Node170,Node209,M
Node77,Node197,E
Node50,Node210,O
Node176,Node211,O
Node23,Node212,M
Node193,Node213,Star
Node95,Node214,A
Node116,Node215,O
Node137,Node216,A
Node96,Node208,A
Node22,Node217,O
Node5,Node192,R
Node55,Node218,M
Node190,Node219,O
Node50,Node174,E
Node134,Node220,A
Node83,Node221,Star
Node109,Node222,Star
Node187,Node185,O
Node31,Node223,Star
Node33,Node212,R
Node77,Node213,E
Node17,Node207,E
Node169,Node211,O
Node68,Node224,Star
Node95,Node225,A
Node40,Node226,O
Node182,Node227,A
Node15,Node214,R
Node8,Node228,O
Node98,Node229,A
Node213,Node205,Star
Node104,Node230,A
Node123,Node219,E
Node171,Node216,A
Node179,Node202,O
Node97,Node151,E
Node71,Node209,R
Node33,Node201,R
Node227,Node231,O
Node145,Node229,A
Node223,Node222,Star
Node121,Node232,O
Node153,Node233,A
Node50,Node176,E
Node208,Node206,A
Node32,Node234,M
Node20,Node235,A
Node74,Node199,O
Node115,Node236,O
Node205,Node237,O
Node94,Node186,R
Node160,Node238,Star
Node88,Node193,R
Node98,Node233,E
Node225,Node188,O
Node78,Node239,A
Node184,Node238,E
Node71,Node240,A
Node58,Node182,E
Node107,Node241,O
Node158,Node242,A
Node32,Node243,O
Node65,Node179,R
Node178,Node244,M
Node134,Node235,R
Node59,Node223,E
Node55,Node245,M
Node147,Node246,A
Node134,Node190,R
Node245,Node244,O
Node63,Node247,M
Node73,Node231,E
Node167,Node248,O
Node224,Node247,A
Node95,Node234,E
Node99,Node249,A
Node99,Node250,A
Node41,Node236,R
Node136,Node251,O
Node93,Node250,E
Node52,Node252,Star
Node132,Node189,R
Node24,Node253,O
Node37,Node254,Star
Node32,Node255,M
Node217,Node256,Star
Node73,Node251,E
Node69,Node196,A
Node233,Node257,Star
Node224,Node245,R
Node239,Node232,Star
Node124,Node258,M
Node32,Node259,M
Node226,Node230,O
Node161,Node249,O
Node65,Node203,R
Node92,Node260,A
Node32,Node261,M
Node235,Node262,A
Node246,Node263,O
Node254,Node264,Star
Node157,Node241,A
Node51,Node265,A
Node24,Node266,M
Node90,Node248,E
Node53,Node267,A
Node265,Node259,O
Node163,Node264,R
Node100,Node268,O
Node233,Node168,E
Node206,Node253,O
Node212,Node226,A
Node130,Node262,Star
Node162,Node177,A
Node263,Node269,M
Node73,Node270,Star
Node226,Node271,O
Node100,Node239,E
Node120,Node257,E
Node64,Node217,E
Node42,Node271,E
Node130,Node218,E
Node242,Node272,M
Node57,Node255,R
Node58,Node273,Star
Node91,Node258,R
Node127,Node274,O
Node91,Node224,R
Node237,Node254,O
Node106,Node272,E
Node102,Node275,Star
Node87,Node237,R
Node186,Node215,E
Node62,Node240,E
Node245,Node276,O
Node74,Node273,E
Node52,Node277,Star
Node8,Node278,O
Node117,Node225,A
Node33,Node279,A
Node198,Node280,M
Node74,Node281,O
Node142,Node282,Star
Node120,Node283,A
Node283,Node266,O
Node28,Node267,E
Node196,Node284,Star
Node47,Node221,O
Node273,Node265,Star
Node131,Node285,M
Node74,Node270,E
Node256,Node261,O
Node163,Node286,A
Node204,Node287,O
Node131,Node288,M
Node119,Node289,M
Node257,Node290,O
Node28,Node291,Star
Node141,Node288,A
Node55,Node292,M
Node196,Node293,Star
Node75,Node294,O
Node166,Node286,E
Node112,Node289,Star
Node93,Node294,E
Node262,Node295,A
Node101,Node296,A
root,Node297,M
Node175,Node285,E
Node264,Node298,A
Node6,Node284,E
Node290,Node299,Star
Node170,Node300,O
Node131,Node301,O
Node23,Node302,M
Node105,Node303,Star
Node16,Node269,R
Node143,Node304,A
Node157,Node268,E
Node17,Node297,E
Node58,Node305,Star
Node48,Node306,A
Node93,Node256,E
Node98,Node307,A
Node11,Node308,O
Node215,Node303,Star
Node216,Node281,O
Node179,Node307,R
Node185,Node220,Star
Node31,Node309,Star
Node241,Node279,Star
Node287,Node310,Star
Node90,Node298,E
Node9,Node311,A
Node290,Node312,Star
Node139,Node163,R
Node245,Node313,O
Node104,Node195,R
Node197,Node314,O
Node293,Node315,Star
Node96,Node295,R
Node278,Node316,A
Node260,Node317,O
Node187,Node318,O
Node317,Node313,O
Node214,Node275,O
Node116,Node319,O
Node28,Node320,Star
Node66,Node321,O
Node243,Node322,A
Node177,Node311,Star
Node157,Node323,A
Node240,Node317,A
Node20,Node320,R
Node184,Node324,O
Node88,Node302,R
Node214,Node300,E
Node195,Node325,A
Node100,Node326,O
Node103,Node310,R
Node220,Node327,A
Node256,Node328,O
Node307,Node329,O
Node5,Node309,R
Node116,Node304,E
Node22,Node305,R
Node312,Node330,O
Node96,Node331,A
Node249,Node332,Star
Node307,Node333,O
Node270,Node334,A
Node207,Node277,Star
Node323,Node332,Star
Node110,Node335,M
Node191,Node299,O
Node277,Node336,Star
Node204,Node337,O
Node273,Node321,R
Node324,Node338,O
Node179,Node339,O
Node50,Node287,E
Node207,Node290,R
Node325,Node331,A
Node79,Node326,R
Node148,Node280,Star
Node299,Node340,O
Node40,Node341,O
Node158,Node342,A
Node232,Node340,A
Node103,Node343,A
Node98,Node293,E
Node167,Node344,O
Node275,Node345,O
Node337,Node346,Star
Node253,Node347,A
Node204,Node348,M
Node287,Node349,Star
Node13,Node350,O
Node16,Node351,A
Node178,Node352,O
Node195,Node353,A
Node332,Node346,O
Node177,Node354,Star
Node229,Node335,O
Node258,Node347,O
Node270,Node355,A
Node112,Node356,Star
Node145,Node341,R
Node160,Node323,E
Node43,Node357,O
Node82,Node356,E
Node281,Node358,A
Node255,Node359,O
Node7,Node252,R
Node91,Node360,O
Node234,Node344,Star
Node59,Node361,A
Node106,Node362,Star
Node111,Node363,A
Node208,Node364,A
Node196,Node365,Star
Node164,Node366,O
Node80,Node367,Star
Node191,Node315,R
Node103,Node368,A
Node181,Node369,O
Node95,Node370,A
