parent,child,relationshiptype
root,Node1,O
Node1,Node2,O
Node2,Node3,M
root,Node4,O
root,Node5,O
Node5,Node1,E
Node1,Node4,E
Node5,Node2,E
Node2,Node6,M
Node1,Node7,O
Node7,Node8,O
Node6,Node9,M
Node6,Node10,M
Node9,Node8,E
Node3,Node7,R
Node8,Node11,A
root,Node12,O
Node11,Node13,Star
Node1,Node14,O
Node7,Node15,O
Node13,Node16,M
Node15,Node12,R
Node16,Node17,O
Node2,Node18,M
Node8,Node19,A
Node7,Node20,O
Node11,Node21,Star
Node10,Node22,M
Node14,Node11,E
Node4,Node14,O
Node16,Node15,E
Node2,Node23,M
Node16,Node24,O
Node22,Node25,Star
Node21,Node24,E
Node2,Node26,M
Node23,Node27,M
Node22,Node21,Star
Node8,Node28,A
Node13,Node29,M
Node1,Node28,E
Node10,Node30,M
Node17,Node20,R
Node27,Node17,R
Node14,Node25,Star
Node20,Node31,O
Node19,Node32,Star
Node11,Node19,E
Node1,Node31,E
root,Node32,R
Node23,Node33,M
Node25,Node34,M
Node15,Node35,Star
Node10,Node36,M
Node17,Node37,O
Node5,Node37,E
Node23,Node38,M
Node2,Node39,M
Node32,Node13,R
Node31,Node40,M
Node37,Node41,A
Node35,Node42,O
Node15,Node41,R
Node2,Node43,M
Node26,Node42,E
Node34,Node35,R
Node32,Node44,Star
Node18,Node44,E
Node30,Node45,Star
Node23,Node46,M
Node18,Node47,A
Node14,Node48,Star
Node20,Node45,E
Node21,Node48,E
Node30,Node47,R
Node32,Node49,Star
root,Node49,R
Node25,Node50,M
Node20,Node51,O
Node37,Node52,A
Node43,Node51,R
Node14,Node52,E
Node28,Node53,Star
Node3,Node53,R
Node20,Node54,O
Node26,Node55,A
Node12,Node55,R
Node40,Node56,A
Node31,Node57,M
Node31,Node58,M
Node23,Node59,M
Node25,Node60,M
Node23,Node61,M
Node19,Node62,Star
Node33,Node63,Star
Node47,Node54,E
Node39,Node63,E
Node26,Node62,E
Node24,Node56,A
Node21,Node64,O
Node4,Node65,O
Node11,Node66,Star
Node21,Node66,E
Node17,Node64,O
Node18,Node67,A
Node52,Node68,Star
Node38,Node69,Star
Node69,Node67,E
Node45,Node70,Star
Node51,Node70,R
Node55,Node69,E
Node60,Node68,E
Node65,Node71,O
Node56,Node72,Star
Node33,Node65,R
Node72,Node73,A
Node1,Node74,O
Node19,Node75,Star
Node6,Node76,M
Node33,Node77,Star
Node58,Node78,M
Node56,Node74,R
Node4,Node79,O
Node20,Node80,O
Node12,Node71,O
Node1,Node81,O
Node65,Node82,O
Node81,Node83,Star
Node49,Node84,O
Node78,Node79,E
Node13,Node85,M
Node58,Node86,M
Node70,Node75,R
Node18,Node72,E
Node19,Node87,Star
Node74,Node88,O
Node82,Node89,Star
Node88,Node90,M
Node41,Node81,R
Node7,Node84,O
Node45,Node91,Star
Node56,Node92,Star
Node28,Node92,R
Node41,Node93,O
Node56,Node89,Star
Node18,Node94,A
Node88,Node95,M
Node76,Node96,O
Node54,Node77,R
Node38,Node82,E
Node64,Node80,R
root,Node94,R
Node9,Node87,E
Node34,Node97,O
Node71,Node98,O
Node44,Node99,M
Node9,Node83,E
Node21,Node100,O
Node71,Node101,O
Node45,Node102,Star
Node28,Node98,R
Node67,Node103,M
Node68,Node101,E
Node14,Node104,Star
Node45,Node105,Star
Node59,Node106,Star
Node10,Node107,M
Node41,Node108,O
Node1,Node97,E
Node92,Node91,R
Node84,Node109,M
Node107,Node110,A
Node38,Node104,Star
Node54,Node111,A
Node4,Node112,O
Node96,Node113,Star
Node113,Node114,O
Node52,Node110,E
Node16,Node88,O
Node48,Node115,Star
Node107,Node100,R
Node113,Node116,O
Node20,Node106,E
Node100,Node102,R
Node63,Node117,A
Node82,Node118,Star
Node53,Node119,A
Node28,Node120,Star
Node12,Node116,R
Node42,Node121,Star
Node35,Node108,R
Node86,Node113,R
Node88,Node122,M
Node37,Node123,A
Node23,Node124,M
Node77,Node111,E
Node21,Node117,E
Node70,Node105,R
Node120,Node123,A
Node15,Node118,R
Node33,Node125,Star
Node27,Node126,O
Node32,Node120,R
Node61,Node127,A
Node35,Node128,O
Node101,Node129,M
Node117,Node96,E
Node47,Node130,A
Node46,Node131,Star
Node74,Node132,O
Node62,Node121,Star
Node35,Node133,O
Node64,Node93,R
Node63,Node112,R
Node115,Node134,M
Node80,Node135,A
Node12,Node136,O
Node31,Node137,M
Node81,Node138,Star
Node22,Node139,Star
Node104,Node138,R
Node133,Node132,O
Node70,Node131,R
Node25,Node140,M
Node81,Node139,E
Node6,Node141,M
Node84,Node142,M
Node1,Node143,O
Node42,Node144,Star
Node133,Node135,R
Node106,Node145,A
Node130,Node145,R
Node10,Node146,M
Node52,Node147,Star
Node23,Node148,M
Node60,Node144,Star
Node106,Node128,R
Node141,Node149,Star
Node91,Node125,E
Node14,Node115,Star
Node58,Node150,M
root,Node151,O
Node79,Node149,Star
Node8,Node133,R
Node55,Node152,O
Node33,Node153,Star
Node68,Node154,Star
Node28,Node126,R
Node65,Node152,R
Node137,Node136,E
Node12,Node155,O
Node40,Node156,A
Node29,Node157,A
Node128,Node158,Star
Node37,Node159,A
Node151,Node147,R
Node124,Node130,E
Node30,Node158,Star
Node86,Node160,O
Node151,Node161,A
Node51,Node154,R
Node95,Node162,M
Node43,Node160,R
Node57,Node163,O
Node118,Node73,R
Node128,Node127,R
Node51,Node151,R
Node103,Node143,R
Node125,Node161,E
Node49,Node153,R
Node43,Node119,A
Node108,Node155,E
Node158,Node164,A
Node160,Node165,Star
Node19,Node114,E
Node94,Node159,R
Node148,Node166,A
Node147,Node167,O
Node134,Node168,Star
Node70,Node165,R
Node70,Node169,O
Node143,Node170,Star
Node123,Node157,A
Node169,Node163,R
Node54,Node171,A
Node166,Node172,O
Node12,Node173,O
Node35,Node156,R
Node144,Node167,O
Node162,Node169,O
Node6,Node174,M
Node7,Node173,R
Node50,Node175,A
Node168,Node164,R
Node78,Node176,A
Node48,Node177,Star
Node51,Node178,A
Node111,Node168,Star
Node24,Node172,R
Node28,Node179,Star
Node51,Node170,R
Node178,Node171,R
Node105,Node180,A
root,Node179,R
Node151,Node181,A
Node7,Node182,O
Node178,Node183,A
Node107,Node175,A
Node38,Node176,E
Node83,Node184,Star
Node25,Node185,M
Node25,Node186,M
Node181,Node187,A
Node172,Node188,Star
Node72,Node189,A
Node19,Node182,E
Node68,Node190,Star
Node20,Node191,O
Node137,Node192,A
Node137,Node181,E
Node9,Node188,E
Node62,Node184,R
Node81,Node187,E
Node114,Node193,A
Node166,Node194,O
Node1,Node195,O
Node74,Node196,O
Node17,Node193,R
Node139,Node197,A
Node175,Node183,E
Node15,Node189,R
Node124,Node198,A
Node81,Node199,Star
Node32,Node200,Star
Node23,Node201,M
Node12,Node202,O
Node76,Node177,E
Node142,Node203,A
Node136,Node204,O
Node30,Node195,R
Node13,Node205,M
Node190,Node206,A
Node206,Node178,E
Node35,Node199,R
Node201,Node207,M
Node139,Node208,A
Node19,Node209,Star
Node47,Node210,A
Node155,Node211,O
Node120,Node212,A
Node71,Node192,R
Node36,Node213,O
Node74,Node214,O
Node78,Node190,E
Node182,Node210,E
Node184,Node215,Star
Node5,Node194,E
Node204,Node216,O
Node134,Node217,Star
Node162,Node218,O
Node108,Node219,Star
Node45,Node217,R
Node183,Node208,E
Node191,Node180,E
Node61,Node216,R
Node103,Node220,A
Node13,Node221,M
Node24,Node222,A
Node180,Node219,Star
Node181,Node211,E
Node35,Node223,O
Node216,Node213,R
Node144,Node224,O
Node180,Node198,E
Node15,Node197,R
Node95,Node225,M
Node10,Node226,M
Node42,Node227,Star
Node156,Node202,R
Node218,Node228,Star
Node169,Node229,Star
Node167,Node224,O
Node17,Node230,O
Node30,Node231,Star
Node172,Node204,R
Node97,Node232,O
Node107,Node220,A
Node73,Node229,R
Node196,Node203,E
Node124,Node233,A
Node112,Node234,A
Node96,Node235,Star
Node52,Node236,Star
Node81,Node191,E
Node94,Node222,R
Node67,Node237,M
Node225,Node238,O
Node107,Node239,A
Node63,Node240,A
Node17,Node241,O
Node109,Node232,E
Node100,Node206,A
Node28,Node238,R
Node209,Node196,O
Node223,Node242,A
Node197,Node227,E
Node225,Node212,E
Node45,Node243,Star
Node110,Node244,M
Node178,Node233,R
Node167,Node245,O
Node4,Node246,O
Node240,Node209,R
Node174,Node247,Star
Node153,Node248,O
Node220,Node242,R
Node35,Node249,O
Node45,Node250,Star
Node44,Node251,M
Node22,Node239,R
Node89,Node243,E
Node59,Node246,E
Node161,Node252,Star
Node109,Node253,A
Node62,Node254,Star
Node81,Node255,Star
Node2,Node256,M
Node92,Node257,A
Node183,Node252,E
Node214,Node258,A
Node75,Node259,M
Node186,Node260,Star
Node117,Node248,E
Node189,Node231,E
Node82,Node240,E
Node32,Node254,R
Node95,Node261,M
Node244,Node236,R
Node184,Node262,Star
Node1,Node262,E
Node36,Node235,R
Node89,Node263,Star
Node229,Node245,E
Node148,Node264,A
Node27,Node265,O
Node185,Node266,O
Node223,Node267,A
Node244,Node268,O
Node17,Node223,R
Node56,Node263,R
Node120,Node269,A
Node53,Node270,A
Node99,Node271,A
Node114,Node272,A
Node174,Node273,Star
Node168,Node258,R
Node264,Node274,O
Node272,Node275,A
Node90,Node214,E
Node166,Node272,R
Node201,Node276,M
Node151,Node270,A
Node195,Node277,Star
Node20,Node278,O
Node146,Node253,R
Node37,Node268,R
Node275,Node260,R
Node119,Node279,A
Node175,Node280,A
Node170,Node230,R
Node35,Node281,O
Node198,Node282,Star
Node148,Node283,A
Node266,Node271,E
Node31,Node284,M
Node131,Node285,A
Node79,Node286,Star
Node55,Node287,O
Node173,Node288,A
Node248,Node289,A
Node119,Node282,R
Node28,Node257,R
Node234,Node290,Star
Node130,Node291,Star
Node248,Node292,A
Node49,Node293,O
Node162,Node294,O
Node47,Node291,E
Node250,Node265,R
Node119,Node295,A
Node229,Node296,Star
Node184,Node297,Star
Node4,Node234,R
Node199,Node273,R
Node258,Node292,R
Node92,Node283,A
Node181,Node297,E
Node76,Node293,O
Node109,Node286,E
Node156,Node280,R
